                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.4893,                0.91807,                  1.368,                0.77322,                0.63773,                0.69272,                0.34893,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     39,                 1.4778,                0.90715,                 1.3557,                0.77356,                0.63673,                0.69689,                0.34932,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     40,                  1.447,                0.87108,                 1.3761,                0.78024,                0.62196,                0.68443,                0.34238,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     41,                 1.4365,                0.86004,                 1.3732,                0.77346,                0.63945,                0.69997,                0.34782,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     42,                 1.4291,                0.85412,                 1.3688,                0.77616,                0.62881,                0.69283,                0.34432,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     43,                 1.4246,                0.84787,                 1.3702,                0.77191,                0.63888,                0.69988,                0.33945,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     44,                 1.4163,                0.84286,                 1.3648,                0.77531,                0.63913,                 0.6994,                0.34558,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     45,                 1.4188,                0.83756,                  1.364,                0.78384,                0.62951,                 0.6957,                0.34555,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     46,                 1.4064,                0.83284,                 1.3561,                0.78983,                0.63894,                0.70864,                0.35861,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     47,                 1.4015,                0.82754,                 1.3534,                0.78102,                0.63745,                0.70531,                0.35552,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     48,                 1.3987,                0.82107,                  1.349,                0.77602,                 0.6452,                 0.7034,                0.35145,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     49,                 1.3943,                 0.8155,                  1.345,                0.78506,                0.64017,                0.70382,                0.35397,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
